episode,steps,total_reward,final_score,hard_violations,coverage_shortage,time,epsilon,loss
1,200,-39.00,-1172.00,101,21,1.4,0.000,-6.3375
2,200,-34.00,-1143.00,103,12,2.7,0.000,-3.5751
3,200,-77.00,-1186.00,107,12,3.8,0.000,-0.6187
4,200,112.00,-1021.00,89,16,4.9,0.000,3.3257
5,200,104.00,-1205.00,111,8,6.2,0.000,10.7104
6,200,-19.00,-1159.00,103,15,7.4,0.000,17.3508
7,200,-83.00,-1121.00,96,22,8.6,0.000,-5.8226
8,200,-23.00,-1159.00,105,10,9.8,0.000,4.4956
9,200,32.00,-1073.00,95,13,11.3,0.000,-13.0892
10,200,-157.00,-1240.00,109,19,12.5,0.000,14.5148
11,200,-76.00,-1034.00,92,12,13.6,0.000,12.1997
12,200,-21.00,-1166.00,104,14,14.8,0.000,11.1789
13,200,-33.00,-1116.00,96,20,15.9,0.000,5.3659
14,200,-40.00,-1183.00,103,19,17.0,0.000,-1.5846
15,200,18.00,-1150.00,99,21,18.1,0.000,-9.8166
16,200,28.00,-1044.00,89,20,19.2,0.000,-1.8416
17,200,33.00,-851.00,66,28,20.4,0.000,-9.9989
18,200,-41.00,-1039.00,89,18,21.5,0.000,-7.8751
19,200,-34.00,-1044.00,87,23,22.7,0.000,27.5276
20,200,129.00,-1056.00,91,18,23.9,0.000,-15.3864
