episode,steps,total_reward,final_score,hard_violations,coverage_shortage,time
1,200,-4.00,-1137.00,108,0,0.2
2,200,-60.00,-1132.00,107,0,0.5
3,200,-87.00,-1236.00,117,0,0.7
4,200,-61.00,-1224.00,117,0,0.9
5,200,-38.00,-1022.00,97,0,1.2
6,200,21.00,-1164.00,110,0,1.4
7,200,-14.00,-958.00,90,0,1.7
8,200,-17.00,-1128.00,107,0,1.9
9,200,71.00,-1044.00,99,0,2.1
10,200,-33.00,-1103.00,104,1,2.4
11,200,-133.00,-975.00,92,0,2.6
12,200,-57.00,-1061.00,100,0,2.8
13,200,-105.00,-1347.00,129,0,3.1
14,200,-66.00,-1248.00,119,0,3.3
15,200,44.00,-1205.00,114,0,3.5
16,200,-55.00,-1208.00,115,0,3.8
17,200,-9.00,-981.00,92,0,4.0
18,200,1.00,-1151.00,110,0,4.2
19,200,-106.00,-1167.00,110,1,4.5
20,200,-124.00,-1328.00,127,0,4.7
21,200,-16.00,-1164.00,111,0,5.0
22,200,-68.00,-1260.00,120,0,5.2
23,200,-44.00,-1280.00,122,0,5.4
24,200,29.00,-1211.00,115,1,5.7
25,200,23.00,-1086.00,103,0,5.9
26,200,-41.00,-986.00,93,0,6.1
27,200,3.00,-1201.00,114,0,6.4
28,200,-16.00,-1269.00,121,0,6.6
29,200,-226.00,-1367.00,131,0,6.8
30,200,-70.00,-1200.00,115,0,7.1
31,200,12.00,-1045.00,99,0,7.3
32,200,-119.00,-1212.00,116,0,7.5
33,200,-51.00,-1157.00,110,0,7.8
34,200,-143.00,-1249.00,119,0,8.0
35,200,3.00,-1115.00,106,0,8.2
36,200,14.00,-1129.00,107,0,8.5
37,200,-138.00,-1258.00,120,0,8.7
38,200,-48.00,-1035.00,98,0,9.0
39,200,54.00,-1164.00,110,0,9.2
40,200,2.00,-1078.00,102,0,9.4
41,200,-68.00,-1113.00,105,0,9.7
42,200,7.00,-1352.00,129,0,9.9
43,200,-157.00,-1205.00,115,0,10.1
44,200,-34.00,-1236.00,118,0,10.4
45,200,40.00,-1157.00,110,0,10.6
46,200,-14.00,-1151.00,109,0,10.8
47,200,-63.00,-1202.00,114,0,11.1
48,200,60.00,-1114.00,106,0,11.3
49,200,-184.00,-1083.00,103,0,11.5
50,200,34.00,-1079.00,102,0,11.8
51,200,-21.00,-1268.00,121,0,12.0
52,200,29.00,-1184.00,113,0,12.2
53,200,-33.00,-1098.00,104,0,12.5
54,200,19.00,-1055.00,100,0,12.7
55,200,-69.00,-1026.00,97,0,12.9
56,200,-64.00,-1190.00,113,0,13.2
57,200,47.00,-929.00,87,0,13.4
58,200,-16.00,-1233.00,118,0,13.6
59,200,20.00,-1047.00,99,0,13.9
60,200,37.00,-1167.00,111,0,14.1
61,200,-176.00,-1214.00,115,0,14.3
62,200,-110.00,-1199.00,114,0,14.6
63,200,-127.00,-1330.00,127,0,14.8
64,200,-12.00,-1130.00,108,0,15.1
65,200,-130.00,-1071.00,101,0,15.3
66,200,-66.00,-1122.00,107,1,15.5
67,200,32.00,-1128.00,107,0,15.8
68,200,-51.00,-1267.00,121,0,16.0
69,200,-79.00,-1107.00,105,0,16.2
70,200,-50.00,-1230.00,117,0,16.5
71,200,-35.00,-1138.00,108,1,16.7
72,200,4.00,-1090.00,103,0,16.9
73,200,-33.00,-1296.00,124,0,17.2
74,200,-21.00,-1143.00,108,0,17.4
75,200,-94.00,-1236.00,118,0,17.6
76,200,-62.00,-1096.00,104,1,17.9
77,200,-176.00,-1297.00,124,0,18.1
78,200,10.00,-1085.00,103,0,18.3
79,200,36.00,-1040.00,98,0,18.6
80,200,-164.00,-1293.00,123,0,18.8
81,200,-35.00,-1055.00,100,0,19.0
82,200,-57.00,-1164.00,110,1,19.3
83,200,-5.00,-1178.00,112,0,19.5
84,200,89.00,-1199.00,115,0,19.7
85,200,-30.00,-1115.00,106,0,20.0
86,200,108.00,-1084.00,103,0,20.2
87,200,-2.00,-986.00,93,0,20.5
88,200,-85.00,-1167.00,111,0,20.7
89,200,-42.00,-1029.00,97,0,20.9
90,200,-118.00,-1124.00,107,0,21.1
91,200,12.00,-1164.00,111,0,21.4
92,200,-61.00,-1153.00,110,0,21.6
93,200,-154.00,-1009.00,95,0,21.9
94,200,-57.00,-1051.00,100,0,22.1
95,200,150.00,-1186.00,113,0,22.3
96,200,-102.00,-1148.00,109,0,22.6
97,200,-174.00,-1109.00,105,0,22.8
98,200,9.00,-1046.00,99,0,23.0
99,200,-22.00,-1038.00,98,0,23.3
100,200,103.00,-998.00,94,0,23.5
